customer_id,job,company,ssn,residence,current_location,blood_group,website,username,name,sex,address,mail,birthdate,created_at
1,"Engineer, production",Brooks-Tucker,012-73-8496,"5174 Russell Path Apt. 219 Heatherport, MI 23098","(Decimal('17.8921535'), Decimal('54.780407'))",B+,"['http://www.miller-meadows.com/', 'http://barber-smith.org/', 'http://rogers.biz/']",schwartzsteven,Megan Allen,F,USS Horne FPO AA 48657,mbrown@hotmail.com,1951-06-22,2020-01-14 08:28:37
2,Secretary/administrator,"Stevenson, Curtis and Huynh",872-24-7672,"569 Debra Falls Terrymouth, HI 57776","(Decimal('-48.5235475'), Decimal('-116.111386'))",AB-,"['https://www.phillips-garcia.com/', 'http://www.davis-olson.net/']",reedrebecca,Kenneth Floyd,M,Unit 7801 Box 1164 DPO AP 52075,richard20@gmail.com,1938-06-22,2020-01-18 15:22:15
3,Graphic designer,"Bishop, Wyatt and Mcknight",504-86-2423,"7422 Kelly Mountain Port Danielmouth, AL 91723","(Decimal('77.9981735'), Decimal('42.711845'))",B+,"['https://jones.biz/', 'http://johnson.com/', 'https://bell-taylor.org/', 'http://www.moore.com/']",anna38,Thomas Poole,M,"82578 Miller Plains West Joeview, AR 80802",ncain@gmail.com,1940-11-13,2020-08-19 03:58:09
4,Database administrator,"Brown, Parrish and Mosley",201-16-8823,"90883 Norman Drive Lake Mallory, CA 84509","(Decimal('-56.3085655'), Decimal('-35.454153'))",O-,"['https://gregory.net/', 'http://welch.com/', 'https://gordon.biz/']",michael61,Brittany Miller,F,"286 Kim Avenue Suite 085 Lake Williamfort, OR 06967",james99@hotmail.com,1913-01-24,2020-09-10 15:45:42
5,"Engineer, electrical",Morton Ltd,846-96-9869,"95682 Tommy Estates Suite 556 Port Ronaldstad, MA 66688","(Decimal('-24.7556715'), Decimal('66.114558'))",A+,"['http://pearson-black.com/', 'http://www.mann.net/', 'https://ross.com/']",csullivan,Christine Scott,F,"74667 Monica Summit Lake Adrianville, RI 01517",mbell@hotmail.com,2020-03-06,2020-04-11 08:50:23
6,"Surveyor, minerals","Cruz, Jordan and Shaw",116-35-5155,"PSC 2367, Box 2523 APO AA 24100","(Decimal('-71.965834'), Decimal('-31.631770'))",O-,"['https://www.gaines.biz/', 'http://rodriguez-morgan.info/']",josephhanson,Samantha Hicks,F,"702 Cole Circle Apt. 519 Lake Hannah, IA 13516",jacoblane@gmail.com,2021-07-06,2020-05-15 21:16:59
7,IT consultant,Carr Group,336-69-0832,"2815 Rebecca Circles Suite 969 Lake Elizabethhaven, PA 99707","(Decimal('8.6136805'), Decimal('125.355097'))",B+,['http://www.lewis.biz/'],rbrown,Jamie Drake,F,"980 Melissa Mount Suite 147 South Eric, KY 98480",thurst@gmail.com,1915-05-19,2020-03-08 22:51:40
8,Psychotherapist,Green PLC,799-81-4005,USNV Pearson FPO AP 91352,"(Decimal('45.3924955'), Decimal('-110.320832'))",A+,"['https://rubio-simpson.com/', 'http://www.perez.com/', 'https://hines-lane.net/']",farrellcraig,Richard Guzman,M,"64436 Vargas Light Suite 525 New Raymondtown, VA 28417",cohenchristopher@gmail.com,1937-10-11,2020-10-16 17:03:59
9,Child psychotherapist,Potts Ltd,339-39-4560,"748 Woods Fields Suite 270 South Veronica, LA 09879","(Decimal('2.8385375'), Decimal('-29.155313'))",AB-,"['https://www.harris.biz/', 'https://fisher.biz/']",sherri77,Kaitlyn Adams,F,"0599 Megan Harbor Suite 656 Brownberg, KY 40812",briannabrooks@yahoo.com,1949-11-16,2020-05-26 19:45:01
10,"Psychologist, sport and exercise","Valencia, Flores and Elliott",086-72-3022,Unit 7130 Box 2609 DPO AE 09342,"(Decimal('11.2058085'), Decimal('179.022190'))",O+,"['http://www.howard-white.com/', 'https://murray-barron.info/']",brandy13,Pamela Perez,F,"88979 Wilkins Turnpike South Matthewhaven, CO 01128",ymurphy@hotmail.com,1996-10-11,2020-08-17 19:58:31
