customer_id,job,company,ssn,residence,current_location,blood_group,website,username,name,sex,address,mail,birthdate,created_at
1,Forest/woodland manager,Frye-Lee,246-70-9233,"37626 Kelly Key Susanville, TN 33635","(Decimal('26.5246065'), Decimal('64.647487'))",AB+,"['https://www.sharp-thompson.com/', 'https://www.mcbride-lin.com/', 'https://young.com/']",howardjennifer,Jessica Martin,F,"780 Smith Haven Apt. 432 New Michaelview, FL 86102",lucas11@yahoo.com,1972-04-21,2020-09-29 19:15:41
2,Orthoptist,Munoz Inc,878-77-8179,"656 Caroline Fields Apt. 660 Josephchester, CO 65097","(Decimal('1.3591065'), Decimal('72.450744'))",AB+,['https://www.morales-flores.com/'],parkerconnor,Thomas Gomez,M,"48754 Johnson Corner Apt. 784 North Andrea, CO 68387",stokesnathan@gmail.com,1975-08-01,2020-09-02 12:04:32
3,Product/process development scientist,Perez Group,001-83-3640,"7597 Tabitha Shoal Suite 977 Port Christopherview, CT 62653","(Decimal('38.9270445'), Decimal('-109.122631'))",A-,"['https://cook.com/', 'http://www.browning.info/', 'http://www.reed.com/', 'http://www.schaefer-lopez.com/']",kristin52,Karen Hahn,F,"38165 Elliott Isle Apt. 753 Port Davidville, NM 14429",jwright@gmail.com,2021-07-28,2020-05-20 20:06:28
4,Futures trader,Boyd-Mercado,695-26-6105,"8843 Regina Brooks Stephenstad, MI 52453","(Decimal('66.276266'), Decimal('47.472275'))",O-,"['http://robinson.com/', 'http://www.le-ford.info/']",beckerjerry,Karen Bullock,F,"070 Rodriguez Highway Apt. 874 Burkeland, NC 57271",tgibson@yahoo.com,1990-01-21,2020-05-06 15:32:33
5,Public relations officer,Osborne-Martinez,748-73-8234,"139 Campbell Gateway Schwartzshire, AZ 46773","(Decimal('-71.9252665'), Decimal('-103.719492'))",AB+,"['https://www.walters.com/', 'https://www.jones-wolf.net/']",paynemichael,Amy Bennett,F,"0990 Burton Key Suite 505 Cookland, IN 89604",brianwilcox@gmail.com,1927-06-11,2020-05-18 00:25:57
6,Politician's assistant,Orozco-Stewart,781-56-0612,USNS Mason FPO AE 57143,"(Decimal('-47.777984'), Decimal('124.334908'))",AB-,['http://norton.net/'],charlesweeks,Alexis Davis,F,"99268 Christopher Cove East Keithland, VA 89684",hduncan@gmail.com,1997-01-27,2020-10-23 09:31:26
7,"Engineer, biomedical","Beck, Glenn and Campbell",350-98-0143,"6892 Patty Causeway Apt. 341 Lake Mikaylaborough, MS 51356","(Decimal('13.140914'), Decimal('177.815338'))",AB-,"['https://www.vasquez.com/', 'https://www.rodriguez-carlson.com/']",nfernandez,Tyler Bartlett,M,"40103 Johnson Ville Kathleenville, NC 61254",sharris@yahoo.com,1993-11-14,2020-06-11 07:20:17
8,Maintenance engineer,"Cole, Petersen and Greer",485-65-6717,"880 Vasquez Loaf South Stephanie, MT 43293","(Decimal('45.1662725'), Decimal('-129.653048'))",A+,['http://www.harris.com/'],stonerobert,Isaac Davidson,M,"73227 Miller Vista Suite 300 Richardborough, UT 37335",norman79@yahoo.com,1993-11-04,2020-02-28 11:12:45
9,Television production assistant,"Newman, Allison and Hawkins",281-09-9849,Unit 2432 Box 7773 DPO AA 26457,"(Decimal('55.9419815'), Decimal('15.419785'))",A-,['https://allen-smith.org/'],gonzalezamy,Heather Romero,F,"107 Brandon Trail Apt. 520 West David, UT 00533",longkatrina@yahoo.com,1917-12-16,2020-07-06 00:30:23
10,Quality manager,Thomas-Guerrero,769-37-6183,"661 John Villages North Meganborough, PA 12075","(Decimal('20.1071925'), Decimal('-64.526571'))",A+,"['https://www.evans.com/', 'http://www.ramirez-murray.biz/']",carl05,Sandra Baldwin,F,"78420 Rodriguez Key Apt. 846 West Maryview, CO 65676",rwilliams@yahoo.com,2019-12-27,2020-08-03 19:21:40
